web-scraper-start-url,yearrersults,yearrersults-href,Year ▴,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
"http://nflcombineresults.com/large-combine-data-update-complete/","2008 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2008&pos=&college=","null","Chad Henne","Michigan","QB","74.88","230","22","4.95","","25.5","106","4.40","7.17"
"http://nflcombineresults.com/large-combine-data-update-complete/","1993 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1993&pos=&college=","null","Adrian Walker","Texas","RB","70.30","196","","9.99","16","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2014 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2014&pos=&college=","null","Kapri Bibbs","Colorado State","RB","69.38","212","","4.67","24","29.0","104","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1991 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1991&pos=&college=","null","Corey Edmond","North Carolina State","OLB","73.00","229","","5.03","21","31.5","114","4.41","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","Lovett Purnell","West Virginia","TE","74.30","245","","4.83","18","29.0","","4.31","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1989 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1989&pos=&college=","null","Eric Wilkerson","Kent State (OH)","WR","68.80","181","","4.63","9","37.5","124","4.28","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1998 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1998&pos=&college=","null","Brian Alford","Purdue","WR","73.50","187","","4.46","","37.0","127","4.04","7.49"
"http://nflcombineresults.com/large-combine-data-update-complete/","2006 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2006&pos=&college=","null","Todd Watkins","Brigham Young","WR","74.38","202","","4.43","15","36.0","118","4.24","7.13"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","Errick Herrin","Southern California","ILB","73.10","235","","9.99","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1988 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1988&pos=&college=","null","Robert Tyler","South Carolina State","TE","77.00","259","","5.02","15","27.0","104","4.85","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2016 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2016&pos=&college=","null","Sheldon Rankins","Louisville","DT","73.13","299","","5.03","28","34.5","118","4.59","7.44"
"http://nflcombineresults.com/large-combine-data-update-complete/","2017 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2017&pos=&college=","null","Devine Redding","Indiana","RB","68.25","205","","4.76","16","30.5","116","4.46","7.18"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Tyrell Williams","Western Oregon","WR","75.00","204","","4.43","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Michael Orakpo","Texas State","OLB","73.00","226","","4.59","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2000 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2000&pos=&college=","null","Chris McIntosh","Wisconsin","OT","78.40","315","","5.39","28","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2000 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2000&pos=&college=","null","R.Jay Soward","Southern California","WR","69.50","177","","4.41","","35.0","124","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2011 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2011&pos=&college=","null","Marvin Austin","North Carolina","DT","73.63","309","","4.84","38","30.5","112","4.40","7.33"
"http://nflcombineresults.com/large-combine-data-update-complete/","1999 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1999&pos=&college=","null","Brian Rogers","Oregon State","ILB","74.30","239","","4.76","19","36.0","108","4.39","7.34"
"http://nflcombineresults.com/large-combine-data-update-complete/","2012 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2012&pos=&college=","null","Coby Fleener","Stanford","TE","78.00","247","","4.52","27","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1990 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1990&pos=&college=","null","Bern Brostek","Washington","C","74.60","300","","5.34","25","28.5","99","4.87","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Kendall Lamm","Appalachian State (NC)","OT","77.00","303","","5.22","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2017 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2017&pos=&college=","null","Chase Roullier","Wyoming","C","75.75","312","31","5.54","19","26.5","97","4.47","7.60"
"http://nflcombineresults.com/large-combine-data-update-complete/","1991 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1991&pos=&college=","null","Chuck Weatherspoon","Houston","RB","67.50","229","","4.84","19","28.0","100","4.33","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1992 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1992&pos=&college=","null","Brian Treggs","California","WR","68.90","161","","4.56","","32.0","107","4.07","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2005 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2005&pos=&college=","null","Terry Holley","Rice (TX)","SS","73.30","211","","4.68","24","37.0","115","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2003 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2003&pos=&college=","null","Thomas Wright","Michigan State","SS","73.40","201","","4.79","13","36.0","114","4.38","7.41"
"http://nflcombineresults.com/large-combine-data-update-complete/","1988 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1988&pos=&college=","null","Tom Rehder","Notre Dame","OT","78.30","270","","4.86","14","31.5","114","4.56","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","1987 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1987&pos=&college=","null","Louis Brock","Southern California","CB","70.60","163","","9.99","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2013 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2013&pos=&college=","null","Darius Slay","Mississippi State","CB","71.88","192","10","4.36","14","35.5","124","4.21","6.90"
"http://nflcombineresults.com/large-combine-data-update-complete/","2005 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2005&pos=&college=","null","Carnell Williams","Auburn","RB","71.00","217","","4.43","19","35.5","118","4.17","6.95"
"http://nflcombineresults.com/large-combine-data-update-complete/","1987 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1987&pos=&college=","null","Ilia Jarostchuk","New Hampshire","ILB","75.50","231","","4.77","","31.0","116","4.43","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2003 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2003&pos=&college=","null","Nate Burleson","Nevada","WR","73.00","197","","4.51","","42.5","126","4.16","6.96"
